exerciseName,field,oldValue,newValue,reason,confidence,sources
Sandbag Shouldering,secondaryMuscles,"[""Glutes"", ""Hamstrings"", ""Middle back""]","[""Glutes"", ""Hamstrings""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Sandbag Shouldering,movementPattern,"""locomotion""","""hinge""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Sandbag Shouldering,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Plate Ground-to-Overhead,category,"""strength""","""olympic""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Plate Ground-to-Overhead,movementPattern,"""locomotion""","""push""",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Plate Ground-to-Overhead,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a real strongman/loaded-implement movement with app-safe full-body metadata and a specific implement apparatus.,medium,
Seated Head Harness Neck Resistance,apparatus,"[""Neck Harness""]","[""Neck Harness"", ""Bench""]",Resolved as a seated neck-harness resistance drill with explicit apparatus.,medium,
Seated Head Harness Neck Resistance,movementPattern,"""rotation""","""isometric""",Resolved as a seated neck-harness resistance drill with explicit apparatus.,medium,
Seated Head Harness Neck Resistance,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved as a seated neck-harness resistance drill with explicit apparatus.,medium,
Bradford/Rocky Presses,secondaryMuscles,"[""Triceps"", ""Chest"", ""Abdominals""]","[""Triceps"", ""Traps"", ""Core""]",Resolved as an overhead pressing variation; the slash name is preserved in aliases but the movement intent is shoulder pressing.,medium,
Bradford/Rocky Presses,difficulty,"""intermediate""","""advanced""",Resolved as an overhead pressing variation; the slash name is preserved in aliases but the movement intent is shoulder pressing.,medium,
Bradford/Rocky Presses,aliases,[],"[""Bradford Press"", ""Rocky Press""]",Resolved as an overhead pressing variation; the slash name is preserved in aliases but the movement intent is shoulder pressing.,medium,
Bradford/Rocky Presses,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved as an overhead pressing variation; the slash name is preserved in aliases but the movement intent is shoulder pressing.,medium,
Standing Towel Triceps Extension,secondaryMuscles,"[""Shoulders"", ""Abdominals""]","[""Shoulders"", ""Core""]",Resolved as a triceps-extension variant using a towel setup; the apparatus remains explicit and conservative.,medium,
Standing Towel Triceps Extension,apparatus,"[""Other""]","[""Towel""]",Resolved as a triceps-extension variant using a towel setup; the apparatus remains explicit and conservative.,medium,
Standing Towel Triceps Extension,sourceTags,"[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""existing_ironlog"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved as a triceps-extension variant using a towel setup; the apparatus remains explicit and conservative.,medium,
V-up,aliases,[],"[""V-Up""]",ACE classifies V-ups as an abs exercise with no equipment and intermediate difficulty; IRONLOG keeps it as a bodyweight core rep exercise.,high,https://www.acefitness.org/resources/everyone/exercise-library/242/v-ups/
V-up,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""source_ace""]",ACE classifies V-ups as an abs exercise with no equipment and intermediate difficulty; IRONLOG keeps it as a bodyweight core rep exercise.,high,https://www.acefitness.org/resources/everyone/exercise-library/242/v-ups/
Kettlebell Around the World,primaryMuscle,"""Abdominals""","""Shoulders""",Resolved conservatively as a loaded shoulder/core circular pattern rather than leaving a vague placeholder.,medium,
Kettlebell Around the World,primaryMuscles,"[""Abdominals""]","[""Shoulders""]",Resolved conservatively as a loaded shoulder/core circular pattern rather than leaving a vague placeholder.,medium,
Kettlebell Around the World,secondaryMuscles,"[""Forearms"", ""Shoulders""]","[""Core"", ""Forearms""]",Resolved conservatively as a loaded shoulder/core circular pattern rather than leaving a vague placeholder.,medium,
Kettlebell Around the World,movementPattern,"""isometric""","""rotation""",Resolved conservatively as a loaded shoulder/core circular pattern rather than leaving a vague placeholder.,medium,
Kettlebell Around the World,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a loaded shoulder/core circular pattern rather than leaving a vague placeholder.,medium,
Gripper Crush,movementPattern,"""pull""","""isometric""",Resolved as a forearm/grip accessory with explicit apparatus and a conservative forearm-focused classification.,medium,
Gripper Crush,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved as a forearm/grip accessory with explicit apparatus and a conservative forearm-focused classification.,medium,
Hammer Pronation,movementPattern,"""pull""","""isometric""",Resolved as a forearm/grip accessory with explicit apparatus and a conservative forearm-focused classification.,medium,
Hammer Pronation,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved as a forearm/grip accessory with explicit apparatus and a conservative forearm-focused classification.,medium,
Hammer Supination,movementPattern,"""pull""","""isometric""",Resolved as a forearm/grip accessory with explicit apparatus and a conservative forearm-focused classification.,medium,
Hammer Supination,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved as a forearm/grip accessory with explicit apparatus and a conservative forearm-focused classification.,medium,
Rice Bucket Wrist Extension,movementPattern,"""pull""","""isometric""",Resolved as a forearm/grip accessory with explicit apparatus and a conservative forearm-focused classification.,medium,
Rice Bucket Wrist Extension,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved as a forearm/grip accessory with explicit apparatus and a conservative forearm-focused classification.,medium,
Rice Bucket Wrist Flexion,movementPattern,"""pull""","""isometric""",Resolved as a forearm/grip accessory with explicit apparatus and a conservative forearm-focused classification.,medium,
Rice Bucket Wrist Flexion,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved as a forearm/grip accessory with explicit apparatus and a conservative forearm-focused classification.,medium,
90/90 Hip Switch,primaryMuscle,"""Glutes""","""Mobility""",Resolved as a hip mobility drill using ACE mobility/stretch taxonomy as the anchor rather than treating it as strength isolation.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
90/90 Hip Switch,primaryMuscles,"[""Glutes""]","[""Mobility""]",Resolved as a hip mobility drill using ACE mobility/stretch taxonomy as the anchor rather than treating it as strength isolation.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
90/90 Hip Switch,secondaryMuscles,"[""Abductors"", ""Adductors""]","[""Glutes""]",Resolved as a hip mobility drill using ACE mobility/stretch taxonomy as the anchor rather than treating it as strength isolation.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
90/90 Hip Switch,category,"""bodyweight""","""mobility""",Resolved as a hip mobility drill using ACE mobility/stretch taxonomy as the anchor rather than treating it as strength isolation.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
90/90 Hip Switch,trackingType,"""weight_reps""","""duration""",Resolved as a hip mobility drill using ACE mobility/stretch taxonomy as the anchor rather than treating it as strength isolation.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
90/90 Hip Switch,movementPattern,"""hinge""","""rotation""",Resolved as a hip mobility drill using ACE mobility/stretch taxonomy as the anchor rather than treating it as strength isolation.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
